MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-136.07973	-2.8735173	79.4375
-136.51176	-2.8851159	79.537109
-136.98196	-2.8950698	79.636719
-137.5226	-2.9078963	79.736328
-138.02194	-2.9195614	79.835938
-138.44368	-2.9319041	79.935547
-138.87421	-2.9429872	80.035156
-139.30951	-2.9538469	80.134766
-139.72789	-2.9665163	80.234375
-140.13954	-2.9767535	80.333984
-140.57381	-2.9887681	80.433594
-141.01071	-3.0010738	80.533203
-141.41754	-3.0134048	80.632813
-141.81371	-3.0256789	80.732422
-142.22775	-3.0374722	80.832031
-142.6376	-3.0491133	80.931641
-143.01056	-3.0616298	81.03125
-143.38306	-3.0725856	81.130859
-143.76025	-3.0844436	81.230469
-144.13263	-3.0970025	81.330078
-144.5032	-3.1081769	81.429688
-144.85538	-3.120887	81.529297
-145.2106	-3.1323721	81.628906
-145.56267	-3.1436143	81.728516
-145.93814	-3.1566999	81.828125
-146.26181	-3.1686513	81.927734
-146.60719	-3.1817188	82.027344
-146.92523	-3.194581	82.126953
-147.26781	-3.2064536	82.226563
-147.58492	-3.2186103	82.326172
-147.86688	-3.2299109	82.425781
-148.17233	-3.2431943	82.525391
-148.4731	-3.2546816	82.625
-148.75551	-3.2668333	82.724609
-149.05066	-3.2793241	82.824219
-149.32632	-3.2909153	82.923828
-149.62973	-3.3019474	83.023438
-149.97073	-3.314311	83.123047
-150.2411	-3.3285749	83.222656
-150.52014	-3.3414752	83.322266
-150.79065	-3.3536208	83.421875
-151.06529	-3.3666744	83.521484
-151.35379	-3.378464	83.621094
-151.61868	-3.3892412	83.720703
-151.89371	-3.4025314	83.820313
-152.22174	-3.4153271	83.919922
-152.4794	-3.4277434	84.019531
-152.76115	-3.4403536	84.119141
-153.03235	-3.453727	84.21875
-153.31067	-3.4659483	84.318359
-153.56744	-3.4785194	84.417969
-153.81221	-3.4921842	84.517578
-154.08574	-3.5043163	84.617188
-154.35306	-3.5167525	84.716797
-154.59644	-3.5290525	84.816406
-154.83662	-3.54197	84.916016
-155.08463	-3.5551648	85.015625
-155.34543	-3.5682628	85.115234
-155.57191	-3.5816023	85.214844
-155.8131	-3.5934367	85.314453
-156.06247	-3.6058154	85.414063
